Training FashionMNIST score v2: 100 epochs, batch=256, device=auto
Checkpoints -> C:\Users\artun\Desktop\ITS-project\checkpoints\score_fmnist_v2
JSONL log    -> C:\Users\artun\Desktop\ITS-project\logs\fmnist_score_v2.jsonl
                    WARNING  High grad norm: 1008.09 at epoch=52 step=11481    
                    WARNING  High grad norm: 696.78 at epoch=52 step=11482     
                    WARNING  High grad norm: 759.91 at epoch=52 step=11483     
[04/21/26 23:09:16] WARNING  High grad norm: 1746.55 at epoch=52 step=11484    
                    WARNING  High grad norm: 1249.52 at epoch=52 step=11485    
                    WARNING  High grad norm: 2253.66 at epoch=52 step=11486    
                    WARNING  High grad norm: 808.56 at epoch=52 step=11487     
[04/21/26 23:09:17] WARNING  High grad norm: 1831.95 at epoch=52 step=11488    
                    WARNING  High grad norm: 1102.07 at epoch=52 step=11489    
                    WARNING  High grad norm: 539.73 at epoch=52 step=11490     
                    WARNING  High grad norm: 791.26 at epoch=52 step=11491     
                    WARNING  High grad norm: 959.89 at epoch=52 step=11492     
[04/21/26 23:09:18] WARNING  High grad norm: 679.02 at epoch=52 step=11493     
                    WARNING  High grad norm: 2288.19 at epoch=52 step=11494    
                    WARNING  High grad norm: 685.25 at epoch=52 step=11495     
                    WARNING  High grad norm: 2555.36 at epoch=52 step=11496    
[04/21/26 23:09:19] WARNING  High grad norm: 1007.22 at epoch=52 step=11497    
                    WARNING  High grad norm: 827.12 at epoch=52 step=11498     
                    WARNING  High grad norm: 599.58 at epoch=52 step=11499     
                    INFO     epoch=52 step=11500 loss=484.8073                 
                             grad_norm=599.5791 lr=1.00e-06                    
                    WARNING  High grad norm: 1265.42 at epoch=52 step=11500    
                    WARNING  High grad norm: 1260.04 at epoch=52 step=11501    
[04/21/26 23:09:20] WARNING  High grad norm: 946.35 at epoch=52 step=11502     
                    WARNING  High grad norm: 825.43 at epoch=52 step=11503     
                    WARNING  High grad norm: 644.47 at epoch=52 step=11504     
                    WARNING  High grad norm: 792.55 at epoch=52 step=11505     
[04/21/26 23:09:21] WARNING  High grad norm: 1852.56 at epoch=52 step=11506    
                    WARNING  High grad norm: 1971.81 at epoch=52 step=11507    
                    WARNING  High grad norm: 1206.52 at epoch=52 step=11508    
                    WARNING  High grad norm: 1307.02 at epoch=52 step=11509    
                    WARNING  High grad norm: 1438.33 at epoch=52 step=11510    
[04/21/26 23:09:22] WARNING  High grad norm: 686.63 at epoch=52 step=11511     
                    WARNING  High grad norm: 1217.56 at epoch=52 step=11512    
                    WARNING  High grad norm: 667.52 at epoch=52 step=11513     
                    WARNING  High grad norm: 954.28 at epoch=52 step=11514     
[04/21/26 23:09:23] WARNING  High grad norm: 609.69 at epoch=52 step=11515     
                    WARNING  High grad norm: 727.62 at epoch=52 step=11516     
                    WARNING  High grad norm: 908.89 at epoch=52 step=11517     
                    WARNING  High grad norm: 1514.56 at epoch=52 step=11518    
                    WARNING  High grad norm: 1982.84 at epoch=52 step=11519    
[04/21/26 23:09:24] WARNING  High grad norm: 1112.78 at epoch=52 step=11520    
