Training FashionMNIST score v2: 50 epochs, batch=256, device=auto
Checkpoints -> C:\Users\artun\Desktop\ITS-project\checkpoints\score_fmnist_v2
JSONL log    -> C:\Users\artun\Desktop\ITS-project\logs\fmnist_score_v2.jsonl
                    WARNING  High grad norm: 8967.25 at epoch=16 step=3486     
                    WARNING  High grad norm: 6192.74 at epoch=16 step=3487     
                    WARNING  High grad norm: 11167.63 at epoch=16 step=3488    
[04/19/26 17:32:40] WARNING  High grad norm: 9550.84 at epoch=16 step=3489     
                    WARNING  High grad norm: 8476.61 at epoch=16 step=3490     
[04/19/26 17:32:41] WARNING  High grad norm: 9171.00 at epoch=16 step=3491     
                    WARNING  High grad norm: 8955.05 at epoch=16 step=3492     
[04/19/26 17:32:42] WARNING  High grad norm: 5484.65 at epoch=16 step=3493     
[04/19/26 17:32:43] WARNING  High grad norm: 11210.00 at epoch=16 step=3494    
                    WARNING  High grad norm: 10240.09 at epoch=16 step=3495    
                    WARNING  High grad norm: 7787.21 at epoch=16 step=3496     
[04/19/26 17:32:44] WARNING  High grad norm: 4210.08 at epoch=16 step=3497     
[04/19/26 17:32:45] WARNING  High grad norm: 11493.49 at epoch=16 step=3498    
                    WARNING  High grad norm: 12053.97 at epoch=16 step=3499    
                    INFO     epoch=16 step=3500 loss=576.5902                  
                             grad_norm=12053.9717 lr=1.59e-04                  
                    WARNING  High grad norm: 7599.18 at epoch=16 step=3500     
[04/19/26 17:32:47] WARNING  High grad norm: 7476.76 at epoch=16 step=3501     
                    WARNING  High grad norm: 10878.02 at epoch=16 step=3502    
                    WARNING  High grad norm: 9356.85 at epoch=16 step=3503     
[04/19/26 17:32:48] WARNING  High grad norm: 10757.61 at epoch=16 step=3504    
                    WARNING  High grad norm: 8025.19 at epoch=16 step=3505     
[04/19/26 17:32:49] WARNING  High grad norm: 6752.13 at epoch=16 step=3506     
[04/19/26 17:32:50] WARNING  High grad norm: 5104.75 at epoch=16 step=3507     
                    WARNING  High grad norm: 8295.73 at epoch=16 step=3508     
                    WARNING  High grad norm: 9486.27 at epoch=16 step=3509     
[04/19/26 17:32:52] WARNING  High grad norm: 11556.29 at epoch=16 step=3510    
                    WARNING  High grad norm: 9437.63 at epoch=16 step=3511     
                    WARNING  High grad norm: 10574.30 at epoch=16 step=3512    
                    WARNING  High grad norm: 7920.27 at epoch=16 step=3513     
